quotes,authors
The Labour party is not perfect but I have seen in my own life how it is the greatest vehicle for positive hopeful social change.,Jess Phillips
Failure is enriching. It's also important to accept that you'll make mistakes - it's how you build your expertise. The trick is to learn a positive lesson from all of life's negative moments.,Alain Ducasse
"My first instinct when I write songs is not a negative one. It's something positive... Everything I've ever done has some form of hope in it, I think.",Noel Gallagher
"The content I create reflects my personality: goofy, fun, positive, a bit clumsy, family-friendly, educational and helpful.",Rosanna Pansino
"Negative comments in terms of body image are the hardest thing the women probably struggle with. But I think the best thing that we can do as WWE superstars is taking that negativity and using it in a positive way, because there are so many young kids on Instagram, Facebook, and Twitter to not send the message of hate on to.",Charlotte Flair
"Perseverance is a positive, active characteristic.",Joseph B. Wirthlin
"You have to be positive, and I'm not just talking about athletics, this also applies to life.",Sheryl Swoopes
I'm an activist. I'm a proud activist. So I want to be someone who is pro-black and pro-Africa and still be somebody that has positive influence.,Kat Graham
Even if things are not going well for you... just stay in the positive way of thinking.,Anitta
Being surrounded with such positive people always helps.,Donovan Bailey
As a person who is not confrontational by disposition I tend to see that the quality of being confrontational is a positive attribute.,John Hall
"If you want positive search results, do positive things. If you don't want negative search results, don't do negative things. To some of my colleagues across the aisle, if you're getting bad press articles and bad search results, don't blame Google or Facebook or Twitter. Consider blaming yourself.",Ted Lieu
Winning is good but is better when it becomes a means of hope and positive change in the lives of those who are deprived.,Emmanuel Adebayor
